team,points_scored,points_allowed,pass_rush_rating,sack_rate,pressure_rate,pass_block_rating,sacks_allowed_rate,protection_rate,wins,losses,ties,win_pct,primary_qb,coach,passing_epa,total_pass_plays,rushing_epa,total_rush_plays,total_offensive_epa,total_plays,defensive_epa,defensive_pass_epa,defensive_rush_epa,season,conference,playoff_seed,superbowl_win,last_5_win_pct
BAL,350,315,10.2621722846442,0.0682788051209104,0.194879089615932,92.8139183055976,0.0641891891891892,0.839527027027027,10,7,0,0.588235294117647,Lamar Jackson,John Harbaugh,-0.0186764324399216,592,0.0363246087278152,478,0.011256513182978,1361,-0.0302902288387598,0.0543970387833807,-0.108909251992243,2022,AFC,6,No,0.4
BUF,455,286,10.302091402014,0.0583941605839416,0.194160583941606,91.6923076923077,0.0475504322766571,0.844380403458213,13,3,0,0.8125,Josh Allen,Sean McDermott,0.203724490764512,694,-0.0635429238866451,365,0.0896674951710507,1333,-0.0586765078654973,-0.0088493280611298,-0.117376501083223,2022,AFC,2,No,1.0
CIN,418,322,10.0078186082877,0.0475435816164818,0.202852614896989,90.2912621359223,0.0606060606060606,0.820936639118457,12,4,0,0.75,Joe Burrow,Zac Taylor,0.153750776776182,726,-0.0668640545591453,355,0.0407102725607244,1371,-0.0469358039850382,-0.0248775623998879,-0.0748717070836436,2022,AFC,3,No,1.0
DAL,467,342,11.3986013986014,0.0816944024205749,0.246596066565809,92.4435028248588,0.0427215189873418,0.830696202531646,12,5,0,0.705882352941177,Dak Prescott,Mike McCarthy,0.0805205385820537,632,-0.0332116659756983,516,0.0167266776435876,1444,-0.0845156714356097,-0.0618110654805345,-0.127737656745701,2022,NFC,5,No,0.6
JAX,404,350,10.179211469534,0.0490883590462833,0.199158485273492,93.3284457478006,0.0411160058737151,0.866372980910426,9,8,0,0.529411764705882,Trevor Lawrence,Doug Pederson,0.136223851924407,681,-0.0977247150423669,427,0.0291827750237401,1389,-0.0212996548260424,0.0405722002992104,-0.114223658011351,2022,AFC,4,No,1.0
KC,496,369,11.9370979270908,0.072463768115942,0.220026350461133,91.907514450867,0.0338541666666667,0.854166666666667,14,3,0,0.823529411764706,Patrick Mahomes,Andy Reid,0.273618618705756,768,-0.0189873341831923,368,0.122040339328041,1411,0.0092629787989177,0.03586719676397,-0.0787936319929924,2022,AFC,1,Yes,1.0
LAC,391,384,9.06274206041829,0.0661157024793388,0.193388429752066,89.8211829436038,0.048811013767209,0.81476846057572,10,7,0,0.588235294117647,Justin Herbert,Brandon Staley,0.0400179104094915,799,-0.0572595338033579,374,-0.0183876751398727,1483,-0.0180147766934744,-0.0057679564318925,0.0381764973721815,2022,AFC,5,No,0.8
MIA,397,399,9.54088952654232,0.0543478260869565,0.18070652173913,90.0763358778626,0.0520833333333333,0.806547619047619,9,8,0,0.529411764705882,Tua Tagovailoa,Mike McDaniel,0.10762766993746,672,-0.0495879120185153,369,0.0193373152903517,1327,0.0115786224856364,0.0905208177771473,-0.108902303952671,2022,AFC,7,No,0.2
MIN,424,427,8.67418899858956,0.0524137931034483,0.169655172413793,87.6281613123718,0.0608020698576973,0.765847347994825,13,4,0,0.764705882352941,Kirk Cousins,Kevin O'Connell,0.0728469158708254,773,-0.129593497940784,384,-0.0154936653840264,1487,0.0019345992665021,0.0513804843101965,-0.0769690573591937,2022,NFC,3,No,0.6
NYG,365,371,10.3597122302158,0.0611940298507463,0.214925373134328,88.4779516358464,0.0733532934131736,0.75748502994012,9,7,1,0.529411764705882,Daniel Jones,Brian Daboll,0.0597944492824936,668,-0.0059070871171474,451,0.0237927886728103,1429,0.0376671713221082,0.0481670600098446,0.0456657016193083,2022,NFC,6,No,0.4
PHI,477,344,13.4839650145773,0.102040816326531,0.269679300291545,92.4435028248588,0.0668693009118541,0.837386018237082,14,3,0,0.823529411764706,Jalen Hurts,Nick Sirianni,0.119229693607202,658,0.0738188758341414,496,0.0564433230101795,1455,-0.0513747377830895,-0.0883214990713894,-0.0228350756340782,2022,NFC,1,No,0.6
SEA,407,401,9.89473684210526,0.0685975609756098,0.214939024390244,88.6681383370125,0.0663780663780664,0.777777777777778,9,8,0,0.529411764705882,Geno Smith,Pete Carroll,0.0569918023650731,693,-0.0706216900413209,386,0.0158125070863921,1387,0.0053144966711776,0.0471220276419522,0.0186701857043529,2022,NFC,7,No,0.4
SF,450,277,12.2247532270311,0.0628571428571429,0.23,92.2904191616767,0.0524534686971235,0.825719120135364,13,4,0,0.764705882352941,Jimmy Garoppolo,Kyle Shanahan,0.170883201424485,591,-0.020720077991565,491,0.0393656325950138,1363,-0.113561499403288,-0.083022949857403,-0.176053762338939,2022,NFC,2,No,1.0
TB,313,358,10.4996379435192,0.0668647845468053,0.215453194650817,93.2249322493225,0.0267965895249695,0.878197320341047,8,9,0,0.470588235294118,Tom Brady,Todd Bowles,0.0499483497984526,821,-0.210433153417413,377,-0.0556743491846955,1499,-0.018629131410949,0.0132455877568756,-0.0859163239856898,2022,NFC,4,No,0.4
BAL,483,280,12.1508379888268,0.0779220779220779,0.225974025974026,92.1469740634006,0.0632716049382716,0.83179012345679,13,4,0,0.764705882352941,Lamar Jackson,John Harbaugh,0.112941790367397,648,0.01127153233582,463,0.0495885560869168,1412,-0.112824836120297,-0.147305441856012,-0.0902229210218296,2023,AFC,1,No,0.8
BUF,451,311,12.3215627347859,0.0778097982708934,0.236311239193084,92.9547088425593,0.0347322720694645,0.858176555716353,11,6,0,0.647058823529412,Josh Allen,Sean McDermott,0.155018535476431,691,0.0104194846307701,448,0.0618906840820664,1421,-0.0521132431407585,-0.0416269247108831,-0.0681247724287252,2023,AFC,2,No,1.0
CLE,396,362,10.9747292418773,0.0748091603053435,0.23206106870229,89.9070385126162,0.0613915416098226,0.792633015006821,11,6,0,0.647058823529412,Deshaun Watson,Kevin Stefanski,-0.130760214959823,733,-0.112007874385331,492,-0.0980886374460205,1534,-0.140292700646041,-0.186866451946292,-0.102391574895298,2023,AFC,5,No,0.8
DAL,509,315,10.4354354354354,0.0719874804381847,0.217527386541471,91.0374029640085,0.054719562243502,0.826265389876881,12,5,0,0.705882352941177,Dak Prescott,Mike McCarthy,0.23199925683621,731,-0.0599947854640651,431,0.0943264702311135,1443,-0.0765217084419615,-0.0617539953158171,-0.126241761240146,2023,NFC,2,No,0.6
DET,461,395,11.5727002967359,0.0580736543909348,0.220963172804533,90.7303370786517,0.0461997019374069,0.80327868852459,12,5,0,0.705882352941177,Jared Goff,Dan Campbell,0.108602067676492,671,-0.0113252965292089,485,0.0183495886432832,1455,-0.0324550625601504,0.0785576149047011,-0.175725984945022,2023,NFC,3,No,0.6
GB,383,350,10.8727810650888,0.0692307692307692,0.226153846153846,92.2619047619048,0.0451807228915663,0.843373493975904,9,8,0,0.529411764705882,Jordan Love,Matt LaFleur,0.15652146566983,664,-0.0580609191232202,416,0.0294387861083845,1368,-0.0019253510074401,0.0662387010023924,-0.0687271813473742,2023,NFC,7,No,0.6
HOU,377,353,11.0157367668097,0.0664739884393064,0.222543352601156,90.4080171796707,0.067238912732475,0.80829756795422,10,7,0,0.588235294117647,C.J. Stroud,DeMeco Ryans,0.05887931883002,699,-0.163103132215438,427,-0.0192956036204654,1424,-0.0369948940128302,0.0517153461371621,-0.156926824593955,2023,AFC,4,No,0.6
KC,371,294,13.2730015082956,0.0838235294117647,0.258823529411765,90.0442477876106,0.0369881109643329,0.821664464993395,11,6,0,0.647058823529412,Patrick Mahomes,Andy Reid,0.0822365422877949,757,-0.113916654165643,349,-0.0030185978676699,1385,-0.0702632533098184,-0.100249104551955,-0.0284220468270437,2023,AFC,3,Yes,0.6
LA,404,377,9.10404624277458,0.0572625698324022,0.175977653631285,91.3105413105413,0.0500736377025037,0.820324005891016,10,7,0,0.588235294117647,Matthew Stafford,Sean McVay,0.0867481429078943,679,-0.0196793569523072,459,-0.0015956325842226,1426,-0.0242378119677731,0.0390493038621264,-0.0987507011491553,2023,NFC,6,No,0.8
MIA,496,391,13.6996336996337,0.0809248554913295,0.270231213872832,93.3283914010378,0.04858934169279,0.858934169278997,11,6,0,0.647058823529412,Tua Tagovailoa,Mike McDaniel,0.163783743955212,638,-0.0088686755041307,441,0.0708677036947708,1378,-0.0203809725733183,0.0105388264717891,-0.100518692709725,2023,AFC,6,No,0.4
PHI,433,428,10.0424328147101,0.055627425614489,0.183699870633894,92.8011404133998,0.0574374079528719,0.851251840942563,11,6,0,0.647058823529412,Jalen Hurts,Nick Sirianni,0.104965099353917,679,-0.0041596213045936,459,0.0515922888457776,1433,0.0419358265180835,0.0963074928185128,-0.0149228989079872,2023,NFC,5,No,0.2
PIT,304,324,10.9499637418419,0.0682148040638607,0.219158200290276,90.7153729071537,0.0601001669449082,0.796327212020033,10,7,0,0.588235294117647,Kenny Pickett,Mike Tomlin,-0.0599541149606239,599,-0.0706668641918763,446,-0.0755854369480335,1347,-0.0565383640071054,-0.0218482446706817,-0.110637810709077,2023,AFC,7,No,0.6
SF,491,298,12.059925093633,0.064,0.214666666666667,91.4110429447853,0.0595446584938704,0.80385288966725,12,5,0,0.705882352941177,Brock Purdy,Kyle Shanahan,0.297622829658808,571,0.0344222394791404,468,0.122081840538663,1340,-0.0455057850236205,-0.0597974085428196,-0.0439585583584439,2023,NFC,1,No,0.6
TB,348,325,9.59004392386531,0.0670391061452514,0.182960893854749,91.4137675795707,0.0585651537335286,0.830161054172767,9,8,0,0.529411764705882,Baker Mayfield,Todd Bowles,0.10971436679475,683,-0.165533694556552,397,-0.0191893994556359,1384,-0.0401773150173762,0.0602400003040429,-0.163587312660261,2023,NFC,4,No,0.8
BAL,518,361,12.0542082738944,0.0705882352941176,0.220915032679739,94.2293644996348,0.0415944540727903,0.863084922010399,12,5,0,0.705882352941177,Lamar Jackson,John Harbaugh,0.323842525586039,577,0.0552633473732382,514,0.140056262089534,1398,0.0084936567238024,0.0545288383087365,-0.174149274139278,2024,AFC,3,No,0.8
BUF,525,368,9.63235294117647,0.0577777777777778,0.194074074074074,95.1708766716196,0.0224719101123595,0.895666131621188,13,4,0,0.764705882352941,Josh Allen,Sean McDermott,0.299042414470569,623,0.0287729827848492,442,0.135750469543813,1378,-0.0036071590777202,0.09436007087698,-0.159749333550052,2024,AFC,2,No,0.6
DEN,425,311,13.8732394366197,0.08311345646438,0.259894459102902,94.121969140338,0.0352941176470588,0.88235294117647,10,7,0,0.588235294117647,Bo Nix,Sean Payton,0.059963360002975,680,-0.0752049920616014,403,0.0257996332282534,1389,-0.072451494249611,-0.0590134758334829,-0.175288142170307,2024,AFC,7,No,0.6
DET,564,342,10.4838709677419,0.0493991989319092,0.190921228304406,91.3916786226686,0.0538336052202284,0.804241435562806,15,2,0,0.88235294117647,Jared Goff,Dan Campbell,0.268663579437822,613,0.0193792574428437,512,0.139564229065492,1425,-0.0383466936620825,-0.0158788238627325,-0.109913692685534,2024,NFC,1,No,0.8
GB,460,338,9.79955456570156,0.0664697193500739,0.194977843426883,92.9640718562874,0.039426523297491,0.831541218637993,11,6,0,0.647058823529412,Jordan Love,Matt LaFleur,0.184939072425317,558,-0.0333142607887096,513,0.0722471578838627,1364,-0.0394778117020291,-0.0244486451792279,-0.141407217936447,2024,NFC,7,No,0.4
HOU,372,372,10.6539309331374,0.072700296735905,0.21513353115727,88.3502170767004,0.0773638968481375,0.769340974212034,10,7,0,0.588235294117647,C.J. Stroud,DeMeco Ryans,0.0085261129386168,698,-0.124415717150284,395,-0.0122920445336459,1406,-0.0165096264181322,0.0050084750192593,-0.150304437900624,2024,AFC,4,No,0.6
KC,385,326,11.1698113207547,0.0559540889526542,0.212338593974175,88.6545454545454,0.0567081604426003,0.784232365145228,15,2,0,0.88235294117647,Patrick Mahomes,Andy Reid,0.139311696534386,723,-0.0582482723776076,401,0.0530531955257462,1405,-0.0004127011831632,0.0703078377861436,-0.114551131042364,2024,AFC,1,No,0.8
LA,367,386,7.84457478005866,0.0579268292682927,0.163109756097561,90.3007518796993,0.0491283676703645,0.795562599049128,10,7,0,0.588235294117647,Matthew Stafford,Sean McVay,0.107403066567772,631,-0.0708091412185938,443,0.0174803942145199,1355,0.0357053169262506,0.119584265172053,-0.0524360846723363,2024,NFC,4,No,0.8
LAC,402,301,10.2373887240356,0.0659971305595409,0.197991391678623,88.6363636363636,0.0704,0.76,11,6,0,0.647058823529412,Justin Herbert,Jim Harbaugh,0.130868766068679,625,-0.0832450337071264,419,0.0397161145415807,1352,-0.050973339873653,-0.0176485485697122,-0.124049788755177,2024,AFC,5,No,0.6
MIN,432,332,11.418439716312,0.0653333333333333,0.214666666666667,89.067055393586,0.072700296735905,0.777448071216617,14,3,0,0.823529411764706,Sam Darnold,Kevin O'Connell,0.133090771888674,674,-0.118751612430462,416,0.0228862533226481,1402,-0.0727075480810919,-0.0334265508603924,-0.199929659353343,2024,NFC,5,No,0.8
PHI,463,303,9.45736434108528,0.0625,0.185975609756098,91.4712153518124,0.079646017699115,0.787610619469027,14,3,0,0.823529411764706,Jalen Hurts,Nick Sirianni,0.16323449203706,565,0.0578575393700375,564,0.0800782098580642,1441,-0.0578791249664364,-0.0230531932244657,-0.192791162513289,2024,NFC,2,Yes,0.8
PIT,380,347,10.5847520355293,0.0584795321637427,0.20906432748538,88.6575735821967,0.0791599353796446,0.744749596122779,10,7,0,0.588235294117647,Russell Wilson,Mike Tomlin,0.0474657806841769,619,-0.12429568152683,491,0.0064323118730183,1422,-0.0251322200756648,0.0165869630498701,-0.0852976040972186,2024,AFC,6,No,0.2
TB,502,385,11.3850616388687,0.0613333333333333,0.209333333333333,93.0664760543245,0.058055152394775,0.85921625544267,10,7,0,0.588235294117647,Baker Mayfield,Todd Bowles,0.208586558271628,689,0.0119088720179205,439,0.102018381836051,1426,0.0043056839028255,0.0927449719860101,-0.145107297635844,2024,NFC,3,No,0.8
WAS,485,391,9.2920353982301,0.06957928802589,0.203883495145631,91.3658881811748,0.072463768115942,0.823188405797102,12,5,0,0.705882352941177,Jayden Daniels,Dan Quinn,0.210167763615698,690,0.0314013177972193,452,0.116522873329936,1442,0.0408797143055311,0.0886921907348335,-0.0186708980451704,2024,NFC,6,No,1.0
